"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"1086","FALL","False","AESTH&INTP","23","Interracial Literature","F06e438a1965a7d53f82aff62fcb17168","Werner","","Sollors","","","","","","","","","","This course examines a wide variety of literary texts representing black-white couples, interracial families, and biracial identity, from classical antiquity to the present. Works studied include romances, novellas, plays, novels, short stories, poems, and non-fiction, as well as films and examples from the visual arts. Topics for discussion range from interracial genealogies to racial \""passing,\"" from representations of racial difference to alternative plot resolutions, and from religious and political to legal and scientific contexts for the changing understanding of race. Focus is on the European tradition and the Harlem Renaissance.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"1250","SPRING","False","AESTH&INTP","29","Modern Jewish Literature","","","","","","","","","","","","","","Great works of fiction become universal and remain able to surprise, delight, inform, or otherwise overwhelm current readers. What gives them this power? How do writers become adjectives like Babelian, Bellovian, or Kafkaesque? This course moves through the twentieth century through the literature of a multilingual people, with works in Hebrew, Yiddish, German, Russian, Italian, and English. We see how variously Jewish writers interpret modern history and their own situation within it.","",""
"13153","SPRING","False","AESTH&INTP","52","Repression and Expression: Sexuality, Gender, and Language in Fin-de-siecle Literature and Art","Fdd5da5e35720279c6f118465599d4e59","Peter","J.","Burgard","","1","Lecture","False","12:00:00","13:00:00","Lecture","Sever Hall","202","Examines German and Austrian art and literature of the Turn-of-the-Century (c. 1880-1920) with a focus on the dominant topics of sexuality, gender, and language that are articulated theoretically in the work of Nietzsche and Freud and insistently exemplified thematically and formally in both the art and literature of the age. The examination of this period, these theories, this art, and this literature serves the primary purpose of developing skills in the interpretation of literary texts and the plastic arts, as well as exploring the possibilities and productivity of bringing these arts and the interpretation of them to bear on one another.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","3","Lecture","False","12:00:00","13:00:00","","","","","",""
"144","FALL","False","AESTH&INTP","24","First Nights: Five Performance Premieres","F17ca3a66be3f7e8654d22e7d35391b31","Thomas","Forrest","Kelly","","2","Lecture","False","11:00:00","12:00:00","Lecture","Memorial Hall","Sanders Theatre","A study of five famous pieces of music, both as timeless works of art and as moments of cultural history. Close attention is given to techniques of musical listening, and to the details of the first performance of each work, with a consideration of the problems involved in assembling such a picture. Works studied are Beethoven, Symphony no. 9; Berlioz, Symphonie fantastique; Stravinsky, Le sacre du printemps; Handel, Messiah; Monteverdi, Orfeo. The course concludes with the first performance of a new work especially commissioned for this course.","","This course, when taken for a letter grade, meets the General Education requirement for Aesthetic and Interpretive Understanding or Culture and Belief, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","11:00:00","12:00:00","","","","","",""
"1565","SPRING","False","AESTH&INTP","21","Virgil\'s Poetry and its Reception","F8fc8c5c36b7feff59adb9a31b621d6ba","Richard","F.","Thomas","","2","Lecture","False","13:00:00","14:00:00","Lecture","Harvard Hall","103","A study the poetry of Virgil, his interaction with Homeric and other Greek poetry, and with attention to the literary, artistic, and musical traditions that flow from his work, throughout the history of western literature. Major focus on the Aeneid in its artistic, historical and political contexts, its reception by Dante, Milton, Eliot, and others. Readings of Virgil\'s Eclogues and Georgics, and on their place in the traditions of European pastoral and lyric, from Spenser to Tennyson to Heaney. Aims to provide an understanding of important literary and cultural achievements of the last two millennia. All readings in English.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","13:00:00","14:00:00","","","","","",""
"16522","","False","CHNSE","166r","Chinese in Humanities","","","","","","","","","","","","","","Advanced language practice associated with authentic academic texts in humanities disciplines (e.g., art, literature, religious studies). May be offered independently in Chinese, or linked with an English-language content course. In fall 2014, the topic of this course is \""Masterpieces of Modern Chinese Literature,\"" co-taught with Professor David Der-Wei Wang. In spring 2015, the topic of this course is \""Masterworks of Chinese Cinema.\"" Students are required to attend the lectures and film screenings of Aesthetic and Interpretive Understanding 63 when the films are Chinese.","Grade of B or better in Chinese 140b or equivalent proficiency.","All readings and discussions in Chinese. Counts toward Language Citation in Modern Chinese. For the spring term, Aesthetic and Interpretive Understanding 63 meets Wed., 1-3 with weekly film screenings, Monday, 6-9 pm."
"1678","SPRING","False","AESTH&INTP","43","Visual Culture of the Ottoman Empire Between East and West (15th - 17th Centuries)","F39e095833ca4ea625e87d7450f1c90a3","Gulru","","Necipoglu-Kafadar","","","","","","","","","","Examines the visual culture of the Ottoman Empire straddling three continents (Asia, Europe, Africa), together with cross-cultural artistic interactions with Western and Asian Islamic courts (Safavid Iran, Mughal India). Ottoman urbanism, architecture, miniature painting and decorative arts studied in their socio-political contexts that informed their production and reception. The selective fusion of Ottoman-Islamic, Byzantine and Italian Renaissance elements in the codification of a distinctive visual tradition that helped processes of multicultural empire building and identity formation is analyzed. Earliest representations of the East by European artists working in the \""Orientalist\"" mode are also considered.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"2449","SPRING","False","AESTH&INTP","31","American Musicals and American Culture","Fc48f0a3fbf4ced5439b5f615d3481205","Carol","J.","Oja","","","","","","","","","","During much of the 20th century, the Broadway musical stood at the center of American culture, producing tunes and tales that became the hits of their day. It commented-wittily, satirically, relentlessly-on the ever-shifting social and political landscape, with subjects ranging from new immigrants to poverty, power, westward expansion, and issues of race. This course explores the musical artistry and cultural resonances of a cluster of iconic Broadway musicals on stage and screen, including Shuffle Along, Show Boat, Stormy Weather, The Cradle Will Rock, Oklahoma!, and Pacific Overtures. Readings focus on primary sources drawn from Harvard\'s illustrious Theatre Collection.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"25702","SPRING","False","AESTH&INTP","50","Literature and Medicine","Fdfbb1f4e749c96d35ea6bc00bf4f2311","Karen","Laura","Thornber","","2","Lecture","False","13:00:00","15:00:00","Lecture","Emerson Hall","210","Examines the relationship between literature and medicine through creative texts that question understandings, shatter binaries, and reconceptualize notions of normality/disability, health/disease, and life/death. Pays particular attention to the work of physician-writers and narratives by patients.","",""
"30214","FALL","False","AESTH&INTP","16","Openings: The Illuminated Manuscript","F172929cf4c6b52dd8d88e24d67ad2549","Jeffrey","F.","Hamburger","","","","","","","","","","In an age of mechanical - and now virtual - reproduction, we have lost sight of the basic visual unit that structures our experience of the book: the opening. Employing old and new technologies, this course focuses on medieval books, their decoration and their readers in the Middle Ages (ca. 300-1500), when the book as we have known it, along with allied institutions, such as the university itself, first came into being.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"3080","FALL","False","AESTH&INTP","49","The Medieval Imagination: Visions, Dreams, and Prophecies","F6994e7ac997e43c8873e3178e77515ce","Nicholas","James","Watson","","","","","","","","","","The medieval imagination was the ambiguous mediator between the world and the mind: a mental space in which either prophetic truths or dreams and diabolic deceptions might be experienced, in which material and spiritual realities were reflected as in a mirror, and in which those complex constructs we call \""fictions\"" found their source. This course investigates dream poetry and visionary writing in the context of medieval psychological theory. Texts to be read include Boethius\'s Consolation of Philosophy, The Romance of the Rose, Dante\'s Divine Comedy, John of Morigny\'s Book of Flowers, and works by Augustine, Julian of Norwich, and others.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"3203","SPRING","False","AESTH&INTP","36","Buddhism and Japanese Culture","F87bf909bd5c621cd40e01c25b56bdf95","Ryuichi","","Abe","","","","","","","","","","This course is designed to enable students to analyze a wide range of Japanese cultural creations-including the traditional Noh theater, modern Japanese paintings, and contemporary anime-by illustrating the influence of Buddhism both on their forms and at their depths. The first part of the course is a study of major Buddhist philosophy and its impact on Japanese literature. The second part observes Buddhist ritual practices and their significance for Japanese performing arts. The last part traces the development of Japanese Buddhist art, and considers the influence of Buddhism on diverse contemporary popular Japanese art media.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"3396","FALL","False","AESTH&INTP","59","Nazi Cinema: The Art and Politics of Illusion","Fbf4bb95444419f70901fcdc1cb2061d5","Eric","","Rentschler","","2","Lecture","False","10:00:00","11:00:00","Film Screening","Carpenter Center","Main Lecture Hall","As thinking beings we consider the limits of human potential and wonder what is the worst. The Nazis obsess us because they were masters of extremity who brought to the world unprecedented violence, destruction, and murder. They were also masters of propaganda who engineered sophisticated techniques of mass manipulation; in this endeavor cinema and modern media assumed a seminal role. This course considers why films proved to be so essential to the Hitler regime and so captivating to German audiences of the Third Reich. It also reflects on the continuing allure of Nazi sights and sounds for contemporary mass culture.","","No knowledge of German required. An additional film screening will be held on Sundays, 1-3. This course, when taken for a letter grade, meets the General Education requirement for Aesthetic and Interpretive Understanding or Culture and Belief, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:00:00","Lecture","Carpenter Center","Main Lecture Hall","","",""
"3820","SPRING","False","AESTH&INTP","15","Elements of Rhetoric","F04e26e5745cc926d59c1ed8a45ff9efc","James","","Engell","","","","","","","","","","Rhetorical theory, originating with Aristotle, in contemporary applications. The nature of rhetoric in modern culture; practical examples drawn from American history and literature 1765 to the present; written exercises and attention to public speaking; the history and educational importance of rhetoric in the West; stresses theory and practice as inseparable.","","//"
"416","FALL","False","AESTH&INTP","11","Poetry Without Borders","F8fb5d3f50c2623d2e4a7b9146d004ee0","Stephanie","","Sandler","","2","Lecture","False","14:00:00","15:30:00","Lecture","CGIS-Knafel","K-050","Studies contemporary poetry as a cultural practice that requires and perversely challenges visual, linguistic, geographic, and aesthetic borders. Main topics are translation (poems crossing borders), emigration/exile (poets crossing borders), and poetry and other arts (poems with music, film, photography). Texts by Charles Bernstein, Allen Ginsberg, Bei Dao, Joseph Brodsky, Paul Celan, Barbara Guest, Susan Howe, Yang Lian, Valzhyna Mort, Henry Parland, Vladimir Nabokov, W. G. Sebald, Cesar Vallejo, Zafer Şenocak, and C. D. Wright, alongside sound recordings, photographs, films, and poetry performances.","",""
"","","","","","","","","","","","4","Lecture","False","14:00:00","15:30:00","","","","","",""
"44278","FALL","False","AESTH&INTP","56","Shakespeare, The Later Plays","F2800b74f91e501cd019a46fd48a90074","Marjorie","","Garber","","","","","","","","","","The late comedies, tragedies, and romances, with some attention to the prevailing literary traditions of the Jacobean period. Particular attention paid to Shakespeare\'s development as a dramatist, and to poetic expression, thematic design, stagecraft, and character portrayal in the plays.","","This course, when taken for letter grade, meets the Department of English Shakespeare requirement."
"45945","SPRING","False","AESTH&INTP","55","Shakespeare, The Early Plays","F2800b74f91e501cd019a46fd48a90074","Marjorie","","Garber","","1","Lecture","False","11:00:00","12:00:00","Lecture","Boylston Hall","110 (Fong Auditorium)","The early comedies, tragedies, and histories, considered in the context of the origins of the English stage and the conventions of Elizabethan drama. Particular attention paid to Shakespeare\'s development as a dramatist, and to poetic expression, thematic design, stagecraft, and character portrayal in plays.","","This course, when taken for letter grade, meets the Department of English Shakespeare requirement."
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","True","11:00:00","12:00:00","","","","","",""
