"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"1065","SPRING","False","CULTR&BLF","19","Understanding Islam and Contemporary Muslim Societies","Fb734a65a5e0b66fad7b18d12f2eab69d","Ali","","Asani","","2","Lecture","False","19:40:00","21:40:00","Lecture","Maxwell Dworkin","G-125","The course is an introduction to the fundamental concepts of Islam and the role that religious ideas and institutions play in Muslim communities around the world. Its main concern is to develop an understanding of the manner in which diverse notions of religious and political authority have influenced Muslim societies politically, socially and culturally. Through specific case studies of countries such as Saudi Arabia, Iran, Turkey, Egypt, Pakistan, and Afghanistan, the course considers the role played by ideologies such as jihad, colonialism, nationalism, secularism, and globalization in shaping the ways in which Muslims interpret and practice their faith today. The course briefly considers the contemporary situation of Muslim minorities in Europe and the United States. The course, through on-campus and on-line options, allows those enrolled to engage with students from all over the world.","","Offered jointly with the Divinity School as 3628. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"1316","FALL","False","CULTR&BLF","25","Studying Buddhism, Across Place and Time","Fb9495475596cf9db5d15efcee025f30c","Janet","","Gyatso","","2","Lecture","False","11:30:00","13:00:00","Lecture","CGIS-South","S-010 Lecture Hall","This class studies the basic elements of Buddhist thought, practice, and historical communities, and their vision of human flourishing. We will study Buddhist classic writings as well as later works from South, Central and East Asia on meditation, discipline, and creativity. Key themes of our readings are the relationship between self and other, the education of the emotions, paths of self-cultivation, and the (im)possibility of perfection. We will be especially attentive to how the approach to such things has shifted as Buddhism spread through Asia, and more recently to the rest of the world, as received by the 19th century Transcendentalists, the Beat poets, and socially engaged religion. Throughout the course we will consider the relevance of this material to our own views of the world and how we should lead our lives.","","Offered jointly with the Divinity School as 3830. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","11:30:00","13:00:00","","","","","",""
"14022","SPRING","False","CULTR&BLF","55","The Enlightenment","F04e26e5745cc926d59c1ed8a45ff9efc","James","","Engell","","2","Lecture","False","10:00:00","11:00:00","Lecture","Harvard Hall","103","The Enlightenment creates modern ideas of the self, a just society, and reformed institutions. The course explores six interrelated developments: (1) taking nothing on authority, a spirit of critique examines knowledge, religion, and government; (2) the spread of general knowledge to populations of increasing literacy; (3) debates about human nature-naturally selfish or sympathetic, altered by race or gender, innate or learned? (4) new institutions for equity and justice, even using violent revolution; (5) efforts supporting abolition, women\'s rights, and religious toleration; (6) self-consciousness in philosophy, art, and psychology. Thinkers include Pope, Montesquieu, Voltaire, Diderot, Johnson, Rousseau, Burke, Lessing, Gibbon, Smith, Kant, Burney, and Wollstonecraft.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:00:00","","","","","",""
"1987","FALL","False","CULTR&BLF","45","The History of the English Language","F307f0d7f3dc57c87ae2a6fd35de718f1","Daniel","G.","Donoghue","","1","Lecture","False","11:00:00","12:00:00","Lecture","Boylston Hall","110 (Fong Auditorium)","Everyone who uses English has experienced its idiosyncrasies. Why is pronunciation at odds with spelling? Why so many irregular verbs? What happened to \""thou\""? What did Shakespeare sound like? How do we know? What about the current stature of English as a world language? This course addresses such questions as it surveys the long history of the language. While the topic is fascinating on its own, a historical knowledge of English gives critical and creative writers more command over the medium of their craft; it also sharpens reading skills. Lectures will be supplemented by exercises from the course website.","","This course, when taken for a letter grade, meets the General Education requirement for Culture and Belief or Aesthetic and Interpretive Understanding, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"2073","SPRING","False","CULTR&BLF","21","Pathways through the Andes-Culture, History, and Beliefs in Andean South America","F7af4ca3452ac573c0753da6cecb6869a","Thomas","B.F.","Cummins","","2","Lecture","False","13:00:00","14:30:00","Lecture","Tozzer Library","Tozzer Library 416","This course explores the arts and cultures of Andean South America from the Pre-Columbian through Colonial periods. Emphasis is on the place of objects-textiles, ceramics, sculptures, and books-in the construction of meanings, identities and values as these changed over time. Readings are drawn from archaeology, ethnohistory, ethnology, art history and original sources. Students will work with Pre-Columbian and Colonial Andean artifacts in the collections of the Peabody Museum.","","This course, when taken for a letter grade, meets the General Education requirement for Culture and Belief or Societies of the World, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","13:00:00","14:30:00","","","","","",""
"2338","SPRING","False","CULTR&BLF","27","Among the Nations: Jewish History in Pagan, Christian and Muslim Context","F1c42029af5532b00dc4de72f64384753","Jay","M.","Harris","","1","Lecture","False","12:00:00","13:00:00","Lecture","Harvard Hall","103","Can we trace an \""authentic\"" Jewish identity through history, as distinct from many \""cultures\"" of Jews in the multitude of times and places in which they have lived? This course provides an overview of major trends in Jewish civilization from biblical times through the early modern era (to approximately the 17th century), with this and related questions in mind, by engaging in close readings of traditional Jewish sources on the one hand and seeking contextual understandings of Jews and Judaism within various non-Jewish settings on the other.","","Required of all secondary concentrators in Jewish Studies, unless excused by the DUS. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","3","Lecture","False","12:00:00","13:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","True","12:00:00","13:00:00","","","","","",""
"24091","FALL","False","CULTR&BLF","28","Hindu Worlds of Art and Culture","Fbc08e1e5c7ce81f0e311368cce78bcc9","Diana","L.","Eck","","","","","","","","","","An exploration of the narratives and arts of the Hindu tradition focusing on the great gods-Vishnu, Krishna, Shiva, and Devi-the images through which the gods are envisioned, the temples and pilgrimage places where they are worshipped, and the ways in which they give expression to a profound vision of the world. Readings include the Ramayana, the Bhagavad Gita, the Gita Govinda, the Shiva Purana, and the Devi Mahatmya","","Offered jointly with the Divinity School as 3412. This course, when taken for a letter grade, meets the General Education requirement for Culture and Belief or Aesthetic and Interpretive Understanding, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"25057","FALL","False","CULTR&BLF","57","Animated Spirituality: Japanese Religion in Anime, Manga, and Film","F305d145a078c6e8fbaeb73819d960c96","Helen","","Hardacre","","","","","","","","","","This course addresses the representation of religion in Japanese popular culture, with emphasis on anime, manga, and film. The course examines depictions of religious figures, themes, and human dilemmas in contemporary popular culture as a gateway to understanding the significance of religion in Japanese society and history.","",""
"2603","FALL","False","CULTR&BLF","17","Institutional Violence and Public Spectacle: The Case of the Roman Games","F9646d235fa698efc908533541db421a9","Kathleen","M.","Coleman","","2","Lecture","False","10:00:00","11:30:00","Lecture","Harvard Hall","104","Gladiatorial combat, beast fights, staged hunts, mock naval battles, and exposure of criminals to wild animals were defining features of the culture of ancient Rome. Examining texts and images from across the Roman world, this course seeks to identify and probe the values, attitudes, and social, political, and economic factors that contributed to the popularity of institutionalized violence as public entertainment for six hundred years from the Punic Wars until the Christianization of the Empire.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:30:00","","","","","",""
"26897","FALL","False","CULTR&BLF","59","Athens, Rome, and Us: Questions of Identity","F3267c80c65c067539f9206835d376078","Emma","","Dench","","","","","","","","","","A thematic and comparative exploration of questions of identity in Athens of the fifth to fourth centuries BCE and Rome of the 1st cent. BCE to 1st cent. CE, emphasizing connections with our own society and world-view. How did the ancient Athenians and Romans, and sub-groups of ancient Athenians and Romans, imagine connections and differences between themselves and others peoples? How far did the societies of classical identity have concepts of race, ethnicity, citizenship, nations or gender identities and sexualities that correspond at all closely to our own? Why do these issues matter to us, and what can we learn from these ancient societies?","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"2798","FALL","False","CULTR&BLF","38","Apocalypse Then! Forging the Culture of Medieval Rus\'","Fde71d424a900c0a1cb55bdb757a85d4c","Michael","S.","Flier","","1","Lecture","False","11:00:00","12:00:00","Lecture","Barker Center","211","When the natives of Medieval Rus (later Russians, Ukrainians, and Belarusians) accepted Orthodox Christianity in the 10th century, their nature-based paganism gave way to a powerfully sensual belief system that made good use of the visual and the verbal to prepare these newest Christians for the coming Apocalypse and Last Judgment. We investigate this transformation from the conversion of Saint Vladimir and the excesses of Ivan the Terrible through the Time of Troubles and the modern turn of Peter the Great. The class features close analysis of architecture, icons and frescoes, ritual, folklore, literature, and history to understand this shift in worldview, including the role of women. Special attention is devoted to the ways in which Medieval Rus is portrayed in film, opera, and ballet.","","All readings in English. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"34911","SPRING","False","CULTR&BLF","33","Introduction to the Study of East Asian Religions","F1d12f779bc616abbcc8baf74d8a4a52b","James","","Robson","","2","Lecture","False","10:00:00","11:30:00","Lecture","Boylston Hall","110 (Fong Auditorium)","This course provides an introduction to the study of East Asian religions. It covers the development of Buddhism, Daoism, Confucianism and Shinto. It is not a comprehensive survey, but is designed around major conceptual themes, such as ritual, image veneration, mysticism, meditation, death, and category formation in the study of religion. The emphasis throughout the course is on the hermeneutic difficulties attendant upon the study of religion in general, and East Asian religions in particular.","","Offered jointly with the Divinity School as 3010. This course, when taken for a letter grade, meets the General Education requirement for Culture and Belief or Societies of the World, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:30:00","","","","","",""
"352","SPRING","False","CULTR&BLF","41","Gender, Islam, and Nation in the Middle East and North Africa","F1e2c946cabb986206571f07b9324dc48","Afsaneh","","Najmabadi","","","","","","","","","","This course will focus on how concepts of woman and gender have defined meanings of religious and national communities in the Islamic Middle East and North Africa. It will survey changes in these concepts historically through reading a variety of sources-religious texts and commentaries, literary and political writings, books of advice, women\'s writings, and films-and will look at how contemporary thinkers and activists ground themselves differently in this historical heritage to constitute contesting positions regarding gender and national politics today.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"3915","FALL","False","CULTR&BLF","22","The Ancient Greek Hero","Ff552cbf0b260660113faf02a826fa73c","Gregory","","Nagy","","1","Lecture","False","12:00:00","13:00:00","Lecture","CGIS-South","S-010 Lecture Hall","This course takes a close look at the human condition, as viewed through the lens of classical Greek civilization (and some modern comparanda).The readings, all in English translation, are the Homeric Iliad and Odyssey, seven tragedies (Aeschylus\' Oresteia Trilogy, Sophocles\' two Oedipus dramas, and Euripides\' Hippolytus and The Bacchic Women), and two dialogues of Plato (the Apology and the Phaedo, both centering on the last days of Socrates); also, selections from the dialogue On Heroes by an eminent thinker in the \""second sophistic\"" movement, Philostratus.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","3","Lecture","False","12:00:00","13:00:00","","","","","",""
"39198","SPRING","False","CULTR&BLF","32","Back Roads to Far Places: Literature of Journey and Quest","F7b4c090fbaa6602bfe63a92d7c3f7736","Stephanie","","Paulsell","","","","","","","","","","Explores themes of journey and quest in world literature and the interplay between their literary and religious dimensions. Considers the relationship between physical and interior journeys, home and exile, quest and peregrination. Emphasis will be on careful reading of, and thoughtful essays on, texts such as Gilgamesh, the Bible, Quest of the Holy Grail, Walden, and works by Tolkien, Dante, Teresa of Avila, Ashvaghosha, Hesse, Basho, Shusako Endo, Charles Johnson, Virginia Woolfe, and Cormac McCarthy.","","Offered jointly with the Divinity School as 2490. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","Fe4290077ff347c8195d7fafadb3557d4","William","A.","Graham","","","","","","","","","","","",""
"42449","SPRING","False","CULTR&BLF","56","The Culture of Capitalism","F5fcd1f48f3a54ebfe504ba8649213dae","Martin","","Puchner","","","","","","","","","","The course asks how cultural products, including literature, theater and film have captured the spirit of capitalism-fuelling its fantasies, contemplating its effects, and chronicling its crises. More than just an economic system, capitalism created new habits of life and mind as well as new values, forged and distilled by new forms of art. Core readings by Defoe, Franklin, O\'Neill, Rand, Miller, and Mamet and background readings by Smith, Marx, Taylor, Weber, Keynes, and Hayek.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"45038","FALL","False","CULTR&BLF","60","Religion in India: Texts and Traditions in a Complex Society","Fbc08e1e5c7ce81f0e311368cce78bcc9","Diana","L.","Eck","","1","Lecture","False","11:00:00","12:00:00","Lecture","Holden Chapel","Main Room","An exploration of the classical texts, spiritual teachings, epic narratives, and religious movements that have shaped a complex civilization for some three thousand years, from the Indus Valley to today. Readings in primary sources - Vedas and Upanishads, Buddhist and Jain teachings, the Mahabharata and the Bhagavad Gita, Bhakti and Sufi poets, Sikh gurus and Muslim kings. Attention to the creation of a rich and composite civilization and the ways in which these sources continue to be of significance to the understanding of modern India.","",""
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","True","11:00:00","12:00:00","","","","","",""
"4605","FALL","False","CULTR&BLF","14","Human Being and the Sacred in the History of the West","Fb41e46a9f0ec4f42b6db21ac94ca579d","Sean","D","Kelly","","","","","","","","","","A culture\'s understanding of what it is to be human interacts with its understanding of what is sacred. Great works of art in the culture typically reflect or articulate these notions. This course will explore the themes of human being and the sacred as they are manifested in some of the greatest works in the history of the West. Readings chosen from among Homer, Aeschylus, Virgil, the New Testament, Augustine, Dante, Luther, Pascal, Kant, Melville, and others.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
