"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"2508","FALL","False","E&M-REASON","17","Deductive Logic","F0c2e83773ef0366a5e734cb1994ce917","Mark","","Richard","","1","Lecture","False","10:00:00","11:00:00","Lecture","Emerson Hall","101","The concepts and principles of symbolic logic: valid and invalid arguments, logical relations of statements and their basis in structural features of those statements, the analysis of complex statements of ordinary discourse to uncover their structure, the use of a symbolic language to display logical structure and to facilitate methods for assessing arguments. Analysis of reasoning with truth-functions (\""and\"", \""or\"", \""not\"", \""if...then\"") and with quantifiers (\""all\"", \""some\""). Attention to formal languages and axiomatics, and systems for logical deduction. Throughout, both the theory underlying the norms of valid reasoning and applications to particular problems will be investigated.","",""
"","","","","","","","","","","","3","Lecture","False","10:00:00","11:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","False","10:00:00","13:00:00","","","","","",""
"26591","FALL","False","E&M-REASON","14","Fat Chance","Fe6f18d4634271edac6e6dc1f6d6cffed","Joseph","D.","Harris","","1","Lecture","False","11:00:00","12:00:00","Lecture","Jefferson Lab","250","This course has three objectives: to learn to calculate probabilities precisely, when we can; to learn how to estimate them, when we can\'t; and to say exactly what we can and can\'t infer from these calculations. The course is not mathematically demanding--we assume no mathematical background beyond high-school algebra--but the goal is serious: given that we\'re asked every day to make consequential decisions on the basis of incomplete knowledge, an understanding of basic probability is an essential tool for life.","",""
"","","","","","","Ff1e7055050b99585093c11ed057ec099","Benedict","H.","Gross","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","False","11:00:00","12:00:00","","","","","",""
"3544","FALL","False","E&M-REASON","13","Analyzing Politics","Fe280a6be046d6fc95ac243ec311e5877","Kenneth","A.","Shepsle","","","","","","","","","","A commonsensical survey of rational theories of politics comprised of: (1) individual choice, (2) group choice, (3) collective action, and (4) institutions. The underlying theme is that politics may be described and understood as rational, goal-seeking behavior by citizens, politicians, bureaucrats, and interest groups in various settings. Students are encouraged to think deeply about current events, history, and public life generally, as well as to analyze the politics of private life--in families, clubs, firms, churches, universities, even Harvard Houses--since private politics, like public politics, may be understood in terms of rational behavior. Instruction is by lecture, small-group section interactions, and experiments.","",""
"37079","SPRING","False","E&M-REASON","11","Making Sense: Language, Logic, and Communication","F9640a897d547cab1de1ce8035cc8e532","Gennaro","","Chierchia","","","","","","","","","","What is meaning, and how do we use it to communicate? We address the first of these questions via the second, presenting an interdisciplinary approach to the study of human languages. We investigate language as the product of a natural algorithm, that is, a computational facility which grows spontaneously in our species and enables us to expose our thoughts and feelings. Our investigation uses formal models from logic, linguistics, and computer science. These models will also shed light on human nature and basic philosophical issues concerning language.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","F96aea20751bf9770f185c3ed5ffbe11e","Stuart","M.","Shieber","","","","","","","","","","","",""
"","","","","","","Fefda42a0d0c2a7ebad48ef1d8832d6ac","Bernhard","","Nickel","","","","","","","","","","","",""
