"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"12206","FALL","False","ETH-REASON","30","The Just World","F834b2af2fdae667e99ab506b12fab0fc","Mathias","","Risse","","2","Lecture","False","11:00:00","12:00:00","Lecture","Harvard Hall","201","Globalization is changing the world. What do wealthy countries have to do to contribute towards the creation of a just world? We start by exploring different approaches to the question of whether obligations of justice apply only to those who share a country. We will then assess whether the global order harms the poor. Next we look at human rights and ask whether liberal values should be promoted as universal human rights. We will complete the course by exploring three additional subjects: moral obligations arising from trade (specifically whether labor standards should be linked with human rights standards), immigration, and environmental justice.","",""
"","","","","","","","","","","","4","Lecture","False","11:00:00","12:00:00","","","","","",""
"1321","FALL","False","ETH-REASON","15","\""If There is No God, All is Permitted:\"" Theism and Moral Reasoning","F1c42029af5532b00dc4de72f64384753","Jay","M.","Harris","","1","Lecture","False","12:00:00","13:00:00","Lecture","Harvard Hall","103","This course will examine the ways in which a concept of God has informed Western moral discourse trying to help students engage the literature as they consider why one might think \""if there is no God, all is permitted\"" and why one might think if there is a God, human moral achievement is impossible.","",""
"","","","","","","","","","","","3","Lecture","False","12:00:00","13:00:00","","","","","",""
"","","","","","","","","","","","5","Lecture","True","12:00:00","13:00:00","","","","","",""
"21034","SPRING","False","ETH-REASON","29","Social Theory, the Humanities, and Philosophy Now","F364131a5f409e74f89a4ac6f8b2547e3","Roberto","","Unger","","","","","","","","","","A sustained discussion of the obstacles and the opportunities that the established traditions of Western philosophy, social theory and the humanities present to those who see time as real, history as open, novelty as possible, and social and cultural transformation as imperative. The central theme is how thought deals with the creation of the new. Special attention to three European philosophers -- Hegel, Marx, and Bergson, as well as to those strands in contemporary philosophy and social thought that bear most closely on our concerns. No prerequisites other than willingness to consider a wide range of problems, materials, and ideas.","","Offered jointly with the Law School."
"","","","","","","Fc5f5889e1d28d688d9d261ff25b6edbe","Michael","","Puett","","","","","","","","","","","",""
"2401","SPRING","False","ETH-REASON","20","Self, Serenity, and Vulnerability: West and East","F364131a5f409e74f89a4ac6f8b2547e3","Roberto","","Unger","","","","","","","","","","An inquiry into basic moral beliefs and their metaphysical assumptions in the high cultures of Western and Eastern civilizations. The background concern is our struggle, in philosophy, religion, and art, with nihilism: the fear that our lives and the world itself may be meaningless. The foreground theme is the contrast between two answers to the question about how to live one\'s life: stay out of trouble and look for trouble. How speculative thought has dealt with the limits of insight into what matters most. Exemplary writings from several traditions: modern European, ancient Greek, Chinese, South Asian.","","Extended take-home examination. Offered jointly with the Law School as 2392. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","Fc5f5889e1d28d688d9d261ff25b6edbe","Michael","","Puett","","","","","","","","","","","",""
"27142","FALL","False","ETH-REASON","39","Money, Markets, and Morals","F2ca5625089ae385f1c4107040ed74acf","Michael","J.","Sandel","","1","Lecture","False","11:00:00","12:00:00","Lecture","Sever Hall","113","What should be the role of money and markets in our society? Are there some things that money should not be able to buy? For example: Should people be permitted to buy sex, votes, babies, citizenship, or college admission? What about buying and selling the right to pollute, procreate, immigrate, discriminate, or to hunt endangered species? Should we use markets to allocate health care, education, and military service?","",""
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"27743","SPRING","False","ETH-REASON","28","Moral Inquiry in the Novels of Tolstoy and Dostoevsky","Fb95f496c0add7449a50df6c8dc7b7450","Justin","M.","Weir","","","","","","","","","","This course considers how Tolstoy and Dostoevsky take up moral inquiry in their fiction, introduces students to philosophical texts that informed their major fiction, and asks why the novel as a literary genre may be a good forum for the discussion of ethics. We will read Tolstoy\'s Anna Karenina, Dostoevsky\'s Notes from Underground and The Brothers Karamazov, as well as selected texts from Rousseau, Schopenhauer, Nietzsche, and others.","",""
"35187","SPRING","False","ETH-REASON","35","Nature","F4f1d85f4c37049f7a35b064b63677a57","Joyce","E.","Chaplin","","","","","","","","","","Ethical relations among people have always implied (whether directly or covertly) a preferred connection between people and nature. This course offers a critical and historical analysis of selected texts that identify human beings as a distinctively ethical species within the natural world, with particular attention to the emergence of normative theories that rank people with and against other natural beings. Topics include: definitions of wilderness and property; social hierarchies based on \""natural\"" differences; agriculture, modern science, industrialization, and consumer economies as historic redefinitions of the human place within nature; animal rights; and environmentalism and its critics.","",""
"37678","SPRING","False","ETH-REASON","36","Institutional Corruption","F5f16faecf64fa5431b9e6e05f38a4913","Lawrence","","Lessig","","","","","","","","","","Institutions make modern life possible by organizing human interactions on a massive scale. We generally benefit from the incentives, norms, and information that institutions provide. However, if corrupted, institutions can cause grave harm. This course will introduce students to \""institutional corruption\"" and equip them with the intellectual tools needed to diagnose, understand, and address its problems. The first half of the semester will draw on economic theory, political philosophy, psychology, and sociology to understand institutional corruption. The second half will examine cases of institutional corruption in medicine, finance, politics, courts, journalism, and academic research and further explore strategies for reform.","",""
"46736","FALL","False","ETH-REASON","33","Medical Ethics and History","Fffdef953c00697b7354e6be8ec7db8c4","David","Shumway","Jones","","1","Lecture","False","11:00:00","12:00:00","Lecture","Divinity Ave., 2","18 (Yenching Auditorium)","Disease and medicine have generated ethical dilemmas that have challenged patients and doctors for centuries, from abortion and euthanasia to informed consent and compulsory treatment. Although moral philosophy can clarify the relevant issues, resolution often depends on the details of the specific clinical and social contexts. Taking a historical approach to medical ethics, this class explores how the moral discourse in health care has changed over time in order to understand how social factors influence the persuasiveness of moral arguments. The focus will be on medical practice in the United States in the twentieth century.","",""
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"48904","FALL","False","ETH-REASON","31","The Philosopher and the Tyrant","Fc38e4afa7c2f31744fa2622ac88fac8b","David","","Damrosch","","2","Lecture","False","14:00:00","16:00:00","Lecture","Sever Hall","203","Philosophers and politicians alike struggle to set the terms for living a good life in a world of conflict. How do court counselors and professional philosophers speak truth to power? How do rulers - and citizens like ourselves - weigh the competing demands of liberty and order, self-fulfillment and self-restraint? Moving from Plato and the Bible to responses to Hitler\'s Mein Kampf, this course will examine particularly rich examples of relations between the pursuit of wisdom and the pursuit of power, from the extremes of conflict (the executions of Socrates, Jesus, Sir Thomas More) to the opposite dream of the philosopher king.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"5064","SPRING","False","ETH-REASON","12","Political Justice and Political Trials","F2f6ff94b260c5dbf633391a3ba54c2e4","Charles","S.","Maier","","","","","","","","","","Criminal trials have served throughout history to enforce revolutionary change, to impose conformity and stifle dissent, or, alternatively, to advance democracy. Students examine trials in their historical and moral context to weigh such issues as who can prosecute; can crimes be defined after the fact; can punishing speech be justified? Cases include Socrates, Louis XVI, General Dyer, the Soviet purges, Nuremberg, Eichmann, American cold-war hearings, and today\'s international tribunals and truth commissions.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"58361","SPRING","False","ETH-REASON","38","The Meaning of Life","F834b2af2fdae667e99ab506b12fab0fc","Mathias","","Risse","","1","Lecture","False","11:00:00","12:00:00","Lecture","Harvard Hall","201","Is there a point to life as a whole? That is the question about the \""meaning of life,\"" a question that is notoriously hard to make precise but has animated much literature, art and philosophy. Philosophers have provided both very disheartening answers and more uplifting ones. Serious scrutiny of such answers should be of interest to anybody who wishes to make reflection on her/his life as a whole part of her/his education. This class is wide-ranging, but its main focus is on contributions by relatively recent thinkers in the Anglo-American analytical tradition of philosophy.","",""
"","","","","","","","","","","","3","Lecture","False","11:00:00","12:00:00","","","","","",""
"6441","SPRING","False","ETH-REASON","11","Human Rights: A Philosophical Introduction","F834b2af2fdae667e99ab506b12fab0fc","Mathias","","Risse","","","","","","","","","","What are human rights? Why would individuals have such rights? How can rights be universal, and what rights are universal? How can human rights rhetoric be criticized? This course will approach these and related questions philosophically, but with an eye to international politics.","",""
"6507","FALL","False","ETH-REASON","13","Self, Freedom, and Existence","F895430831adb9dd728daef38eaa4e627","Richard","","Moran","","","","","","","","","","How is human freedom possible? Does acting freely mean acting in accordance with reasons or acting arbitrarily, or neither? Are values chosen, discovered, or invented? How is self-knowledge possible and how is it different from the knowledge of others? Specific issues to be discussed include: self-deception and bad faith; the nature of freedom and autonomy; subjectivity and our relation to others; rationality and irrationality. Readings, which will provide an introduction to a few of the major texts of Existentialism, will be drawn from Kant, Sartre, Dostoevsky, and various contemporary writers.","",""
"7037","SPRING","False","ETH-REASON","17","Ethics, Religion, and Violence in Comparative Perspective","Fbbd21ce43758b0cb272c230aaacaa252","Anne","E.","Monius","","1","Lecture","False","10:00:00","11:00:00","Lecture","Harvard Hall","104","Predicated on the assumption that global concerns are manifest in highly particularized cultural and religious circumstances, this course seeks to understand Hindu, Buddhist, and Christian framings of and prospective solutions to the problem of communal violence in the contemporary world. Topics examined in each tradition include: conceptions of moral subjectivity, frameworks for moral education, close reading of novels that grapple with the moral challenges (especially new forms of violence) wrought by colonization and globalization, and explicitly religious responses to such violence in the work of Mahatma Gandhi, Buddhist monastic communities in Sri Lanka and Southeast Asia, and Archbishop Desmond Tutu.","",""
"","","","","","","","","","","","3","Lecture","False","10:00:00","11:00:00","","","","","",""
"7778","FALL","False","ETH-REASON","21","Moral Reasoning about Social Protest","Fb902d1e8f2962864337d464efee3b6a9","Susanna","","Siegel","","","","","","","","","","An examination of moral questions that arise in the context of social protest in the US during the 20th century, including the central question of political philosophy: How can political authority be justified? After studying the Attica prison revolt of 1971, we will consider the following questions: Is there an obligation to obey the law? What, if any, are the moral limits to this obligation? Can civil disobedience be justified, and does it always need to be? Texts include classic excerpts from Plato, Hobbes, Rawls, and Marx.","",""
"80651","SPRING","False","ETH-REASON","34","Liberty","F807212da7d87a599335786ed90be70d5","Jeffrey","","Miron","","2","Lecture","False","13:00:00","14:00:00","Lecture","Sever Hall","102","What is liberty? What considerations justify taking away an individual\'s freedom? All modern political philosophies and all forms of government claim to be liberating individuals or groups from oppression, but can these claims withstand critical scrutiny? Is power in the hands of the state the best way to secure the freedom and happiness of individuals? Beginning with an intellectual history of ideas of freedom in the Western tradition, the course proceeds to examine a series of issues and debates that invoke the value of freedom in the modern world: taxation, private property, public speech, and government attempts to shape and regulate the individual\'s behavior and morality.","",""
"","","","","","","Fa0ffc0789d9f24e4f0d1e391c53ae727","James","","Hankins","","4","Lecture","False","13:00:00","14:00:00","","","","","",""
