"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"16308","","False","SCI-LIVSYS","20","Psychological Science","","","","","","","","","","","","","","An introduction to the sciences of mind, including foundational concepts from neuroscience, evolution, genetics, philosophy, and experimental methods, and specific topics such as perception, memory, reasoning and decision-making, consciousness, child development, psychopathology, personality, language, emotion, sexuality, violence, morality and social relations.","","Students who have taken Science B-62 or Psychology 1 may not take this course for credit but may use those courses to satisfy the General Education requirement for Science of Living Systems. This course, as well as Science B-62 and Psychology 1, meet the Tier 1 requirement for Psychology."
"2635","SPRING","False","SCI-LIVSYS","25","Trees, Forests and Global Change","F4bee53341e1e8a9c831f393e139bc0a8","Donald","H.","Pfister","","","","","","","","","","Forests cover nearly one third of the earth\'s land surface area. They provide a vast range of products and services to human civilization, and are important for economic and cultural reasons. This class will provide students with an introduction to the biology and ecology of forest ecosystems. An overarching theme throughout the course will be to understand how climate change will affect forests and the ecological services we derive from them, and in turn how forests can affect their own growth environment and climate change itself.","",""
"42977","FALL","False","SCI-LIVSYS","22","Human Influence on Life in the Sea","Fbdee9ebfe496595b8d0eaefc7862139d","Robert","M.","Woollacott","","2","Lecture","False","11:30:00","13:00:00","Lecture","Northwest Building","B108","Many important marine fish stocks are over-harvested and their futures are in doubt. Other human activities, such as pollution and anthropogenic climate change, are also affecting the stability and productivity of marine ecosystems. This course will ask what we need to know about the causes and effects of anthropogenic change to best protect marine ecosystems and ensure sustainable harvests from the sea.","",""
"","","","","","","Fc551df6869bdd7d4f1a95381fad5279d","James","J.","McCarthy","","4","Lecture","False","11:30:00","13:00:00","","","","","",""
"470","SPRING","False","SCI-LIVSYS","16","Human Evolution and Human Health","Fe601975271ed3c7237ec7c934fdf7882","Daniel","E.","Lieberman","","2","Lecture","False","13:00:00","14:30:00","Lecture","Science Center"," E","How and why did humans evolve to be the way we are, and what are the implications of our evolved anatomy and physiology for human health in a post-industrial world? Why do we get sick, and how can we use principles of evolution to improve health and wellbeing? To address these questions, this course reviews the major transitions that occurred in human evolution, from the divergence of the ape and human lineages to the origins of modern humans. Also considered are the many effects of recent cultural and technological shifts such as agriculture and industrialization on human health.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","13:00:00","14:30:00","","","","","",""
"50018","SPRING","False","SCI-LIVSYS","19","Nutrition and Global Health","F4a505125d60433fedfe22861e0bd50d8","Christopher","","Duggan","","1","Lecture","False","15:00:00","17:00:00","Lecture","Science Center"," B","This course will introduce students to nutrition and global health problems through exploration of demographic, epidemiological, biological, social, political, and economic determinants of nutritional status. Emphasis will be placed on the role of nutritional status and dietary intake, both as a determinant and as a consequence, of these health problems. Students will be encouraged to think critically about the major challenges to improve nutrition and health at a global level, with a focus on nutrition and infectious diseases, maternal and child health, and chronic diseases. Nutritional assessment, study design, and efficacy of nutrition interventions, will be explored in detail.","",""
"","","","","","","F82267b94e9384068f392001630a1c36a","Wafaie","W.","Fawzi","","","","","","","","","","","",""
"","","","","","","Feb0b82d8a894c6dbf7e94b7d0a3ab3f1","Clifford","W.","Lo","","","","","","","","","","","",""
"5523","FALL","False","SCI-LIVSYS","12","Understanding Darwinism","F0e4b62e32bb1a3424230b69b8db1c1c5","Janet","","Browne","","2","Lecture","False","10:00:00","11:30:00","Lecture","Boylston Hall","110 (Fong Auditorium)","An interdisciplinary exploration of Darwin\'s ideas and their impact on science and society. The course links the history of Darwin\'s ideas with the key features of modern evolutionary biology. We review the development of the main elements of the theory of evolution, highlighting the areas in which Darwin\'s ideas have proved remarkably robust and areas in which subsequent developments have significantly modified the theory. By also analyzing the historical context of the development of evolutionary thought beyond Darwin, the course emphasizes the dynamic interplay between science and society.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
