"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"1387","SPRING","False","SCI-PHYUNV","25","Energy: Perspectives, Problems and Prospects","Ffb530e6d87831c18ca5db4b774d10846","Michael","B.","McElroy","","","","","","","","","","The course provides an historical account of the evolution of the modern energy system, from early dependence on human and animal power, to the subsequent use of wind and water, to more recent reliance on fossil fuels - coal, oil and natural gas - and even more recently to the development of the ability to tap the energy contained in the nucleus. It will discuss the important historical advances in the applications of energy, notably in the production and distribution of electricity and in the transportation sector - where oil-derived products provide the motive force for cars, trucks, trains, ships and planes. It will highlight the energy related problems we confront today, with particular emphasis on air pollution, on the threat of global climate change, on the hazards of nuclear proliferation, and on the risks to national security imposed by our increasing reliance on imported sources of oil. It concludes with a discussion of options for a more sustainable energy future.","Students are expected to have a background of high school algebra and trigonometry.","Students who have taken Science A-52 may not take this course for credit."
"14726","SPRING","False","SCI-PHYUNV","24","Introduction to Technology and Society","Fc9d83a1a398d93e4b98fe5879e5f7f94","Venkatesh","","Narayanamurti","","1","Lecture","False","14:30:00","16:00:00","Lecture","Maxwell Dworkin","G-125","From the digital revolution to bio informatics, from global warming to sustainability, and from national security to renewable energy, technology plays a critical role in shaping our lives. In this course, the students will be exposed to applied science and engineering concepts that span disciplines and examine broadly how technology shapes society and vice versa. It will emphasize both qualitative and quantitative analysis, modelling, and the importance of a conceptual understanding of science and technology in tackling the grand challenges facing global society.","",""
"","","","","","","","","","","","3","Lecture","False","14:30:00","16:00:00","","","","","",""
"32997","SPRING","False","SCI-PHYUNV","22","The Unity of Science: From the Big Bang to the Brontosaurus and Beyond","Ffd748ec6a9b9532e06a68594230f89fc","Irwin","I.","Shapiro","","1","Lecture","False","10:00:00","11:00:00","Lecture","Science Center"," A","Science is like well-woven, ever-expanding fabric, designed to (un)cover Nature\'s secrets. This course emphasizes the strong connections between subfields of science, showing it as the never-ending and greatest detective story ever told, with evidence always the arbiter. These characteristics are exhibited in the semi-historical treatment of three themes: unveiling the universe, the earth and its fossils, and the story of life.","","This course, when taken for a letter grade, meets the General Education requirement for Science of the Physical Universe or Science of Living Systems, but not both."
"","","","","","","","","","","","3","Lecture","False","10:00:00","11:00:00","","","","","",""
"3581","SPRING","False","SCI-PHYUNV","17","The Einstein Revolution","F9528cb55a07148d5cbe39df4d3355578","Peter","","Galison","","4","Lecture","False","14:30:00","16:30:00","Lecture","Pierce Hall","301","Albert Einstein has become the icon of modern science. Following his scientific, cultural, philosophical, and political trajectory, this course aims to track the changing role of physics in the 20th- and 21st- centuries. Addresses Einstein\'s engagement with relativity, quantum mechanics, Nazism, nuclear weapons, philosophy, and technology, and raises basic questions about what it means to understand physics and its history. This is a hybrid course that will combine online lessons with an active, participatory class structure.","","This course, when taken for a letter grade, meets the General Education requirement for Science of the Physical Universe or Culture and Belief, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"4775","FALL","False","SCI-PHYUNV","21","Stellar Understanding of the Cosmos","F45ad6f6a956c1c052f6f9f6732f7a1af","Jonathan","E.","Grindlay","","1","Lecture","False","13:00:00","14:30:00","Lecture","Science Center","804","Direct measurements of the stars and Sun with telescopes at the Science Center to learn how we can understand our solar system, Galaxy and the distant Universe from stars, the basic building blocks and markers of cosmic evolution. In small sections, students conduct both visual and computer-assisted telescope observations to measure key properties of stars and formulate their own cosmic understanding from simple physical laws. Solar observations are done in class on clear days; stellar observations use the 16in computer-controlled Clay Telescope on the Science Center rooftop in weekly 1hour evening sections, which include data analysis and discussion of lecture and readings.","",""
"","","","","","","","","","","","3","Lecture","False","13:00:00","14:30:00","","","","","",""
"5565","FALL","False","SCI-PHYUNV","28","Invisible Worlds","F2cad8e6e404ab4062b2845d6509fcfc2","Mara","","Prentiss","","","","","","","","","","What we perceive as \""reality\"" is the best effort of our senses to interpret a deeper, largely invisible, reality that is unnervingly strange. This course will survey the world of very small things, objects with dimensions of nanometers and micrometers. The behaviors of these objects are often entirely counterintuitive; they can also be quite useful. Micro- and nanostructures are the basis both of fundamentally new science, and of ubiquitous technologies: quantum dots, computers, the biological nanomotors that power muscle, buckyballs, tools for examining single mammalian cells, lasers. The course will describe these objects and how they function; it will also touch on issues of commercialization, economics, public policy, and ethics that spring from the avalanche of discovery and invention in this area.","",""
"5680","SPRING","False","SCI-PHYUNV","30","Life as a Planetary Phenomenon","F0139fada44d52dc48a046e1f0e26706e","Dimitar","","Sasselov","","2","Lecture","False","11:30:00","13:00:00","Lecture","Science Center"," B","This course considers the relationship between life and the planet on which it resides. It examines the scientific quest to understand where life might thrive beyond Earth. On Earth, life was born of planetary processes and has been sustained by plate tectonics and other physical processes. Through evolution, life has in fact emerged as major influence on our planet\'s surface. Fundamental features of terrestrial life and evolution are addressed in the context of astronomy, planetary physics and chemistry. These, in turn, provide a basis for the exploration for other habitable planets, both within our solar system and in the greater universe.","",""
"","","","","","","","","","","","4","Lecture","False","11:30:00","13:00:00","","","","","",""
"5923","SPRING","False","SCI-PHYUNV","19","The Energetic Universe","F2cde53a8e3c14d87d4215e9d8851fce5","Robert","P.","Kirshner","","2","Lecture","False","10:00:00","11:30:00","Lecture","Science Center"," D","The nature and history of matter revealed by astronomical observation and experimental physics. Explores the Big Bang and the accelerating universe, stellar evolution and supernova explosions, evidence for invisible matter and dark energy, and the development of structure in the universe. Demonstrates the physical principles used to interpret astronomical data and to construct a history of the evolution of the universe on the microscopic and cosmic scales. Examines the way microscopic properties of matter determine properties of people, stars, galaxies, and the universe as a whole.","",""
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:30:00","","","","","",""
