"cat_num","term","bracketed","field","number","title","faculty__id","faculty__first","faculty__middle","faculty__last","faculty__suffix","schedule__day","schedule__type","schedule__optional","schedule__begin_time","schedule__end_time","locations__type","locations__building","locations__room","description","prerequisites","notes"
"11083","SPRING","False","US-WORLD","18","Thinking About the Constitution","F5ec6e96af80f66492528c107d2d403b9","Laurence","H.","Tribe","","","","","","","","","","What difference does our Constitution make? Does it matter whether we think about it only as a text, as living practice, or as a set of mostly unwritten principles? This course will explore such questions by investigating several concrete constitutional controversies-about abortion, birth, and dying; about embryo research; about race and gender; about the Obama health insurance reform; about sexual intimacy and same-sex marriage; about religion, free speech, and campaign finance; about workers\' rights; about informational privacy; and about emergency presidential action. Readings will be drawn from judicial and other writings about the Constitution, its history, and its interpretation.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"1489","SPRING","False","US-WORLD","20","The Theory and Practice of Republican Government","Fd813d9ad777ee1eb7ddcb38ebb6c3ff4","Daniel","","Carpenter","","","","","","","","","","A theoretical and historical survey of the evolution of republican (representative) government, with a particular focus upon European and American institutions. We will alternate between philosophical treatments and empirical studies of republican regimes. Questions include: How did republican government evolve (in England and France) centuries before mass elections? What institutions besides elections keep the ruled attuned to the people? Did arguments for legislative supremacy prefigure the rise of parliamentary authority? If so, how? How did modern republics co-evolve with institutions of slavery? What is the role of virtue in a democratic republic? How can government ensure the \""rule of the wise\"" without fostering autocratic power? What critique might republican theory advance of populist and libertarian arrangements, and how populist and libertarian critics respond?","","This course, when taken for a letter grade, meets the General Education requirement for United States in the World or Ethical Reasoning, but not both. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"1552","FALL","False","US-WORLD","13","Medicine and Society in America","Fffdef953c00697b7354e6be8ec7db8c4","David","Shumway","Jones","","","","","","","","","","Surveys major developments in the history of American medicine since 1500. Emphasis on setting the practice of medicine and the experience of health and disease into broad social, cultural, and political contexts. Topics include the social and cultural impact of epidemic disease; the nature of demographic and epidemiological change; the development of medical therapeutics and technologies; the growth of health care institutions; the rise of the medical profession; and debates about the allocation of health care resources. Evaluates the role of medicine in addressing social needs as well as the social and economic determinants of patterns of health and disease.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"21669","SPRING","False","US-WORLD","30","Tangible Things: Harvard Collections in World History","Fdf8358613c6a42ea6ac703720db85ca0","Laurel","","Ulrich","","2","Lecture","False","10:00:00","11:00:00","Lecture","Sever Hall","113","People make history through the things they make, collect, exhibit, exchange, throw away, or ignore. Over four centuries, Harvard has not only amassed books and manuscripts but art works, scientific instruments and specimens, ethnographic objects, and historical relics of all sorts. By learning how and why particular things arrived in Cambridge and what happened to them when they got here, students will discover how material objects have shaped academic disciplines, reinforced or challenged social boundaries, and defined America\'s place in the world. This is an interactive course, with weekly visits to museums and close-up investigation of specimens and artifacts.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","","","","","","4","Lecture","False","10:00:00","11:00:00","","","","","",""
"26219","FALL","False","US-WORLD","38","Forced to be Free: Americans as Occupiers and Nation-Builders","F516ed0406b1cd6639dffa6b80181d1dd","Erez","","Manela","","","","","","","","","","The United States has launched numerous projects of military occupation and nation-building in foreign lands since the late 19th century. These have been contradictory enterprises, carrying ideals of freedom and self-determination \""offered\"" by force or by fiat. This course will assess the meanings and legacies of these projects by examining the ideas, strategies, policies, and outcomes of occupations ranging from the Philippines and Haiti early on, to Japan, Germany, and Korea in mid-century to, most recently, Afghanistan and Iraq. The course focuses on American activities and ideas but also examines the responses of the occupied.","","This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
"","","","","","","Fb3c9d6fd5652472791118e19cac39b84","Andrew","D.","Gordon","","","","","","","","","","","",""
"27723","FALL","False","US-WORLD","36","Innovation and Entrepreneurship: American Experience in Comparative Perspective","Fba73888cf8ecb167d52ed87b8f9cfb54","Mihir","A.","Desai","","1","Lecture","False","15:30:00","17:00:00","Lecture","HBS - Aldrich","208","What gives rise to entrepreneurial opportunity and innovative activity? How do innovators and entrepreneurs think about the world? How are organizations born and how do they grow? How can innovation and entrepreneurship address the major challenges facing the world? The course will address these questions by bringing together faculty members of Harvard University to provide a diverse set of perspectives on the nature of innovation and entrepreneurship. The course has three complementary pedagogical methods. Members of the Harvard Business School faculty will provide a set of interactive lectures using case studies that illustrate how for-profit and not-for-profit organizations recognize and capitalize on opportunities. Second, faculty members from around the University will provide lectures on specific areas related to their expertise. Third, a set of group projects that allow students to work in the field with sponsoring organizations will be completed over the course of the semester.","","Unlike other General Education courses, this course assumes advanced coursework in a relevant social science and thus is open to freshmen only with permission of the instructor."
"","","","","","","Fc69f1e7d875b43b9fdefc4b7d0ff728e","David","Laurence","Ager","","3","Lecture","False","15:30:00","17:00:00","","","","","",""
"3243","SPRING","False","US-WORLD","29","Designing the American City: Civic Aspirations and Urban Form","Fecd72a7f49c813bf4b03b75faa0687df","Alex","","Krieger","","2","Lecture","False","13:00:00","14:00:00","Lecture","GSD - Gund Hall","GSD_Gund_111","An interpretive look at the American city in terms of changing attitudes toward urban life. City and suburb are experienced as the product of design and planning decisions informed by cultural and economic forces, and in relationship to utopian and pragmatic efforts to reinterpret urban traditions in search of contemporary alternatives. Topics include: persistent ideals such as the single-family home, attitudes toward public and private space, the rise of suburbs and suburban sprawl, cycles of disinvestment and renewed interest in urban centers, and impacts of mobility and technology on settlement patterns.","","Offered jointly with the Graduate School of Design as DES 0330200. This course fulfills the requirement that one of the eight General Education courses also engage substantially with Study of the Past."
