Class Name,Fall,Spring,Monday,Tuesday,Wednesday,Thursday,Friday,Time Start,Time End,ID
CS50,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,13,14.5,1
CS51,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,13,14.5,2
CS61,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,14.5,16,3
CS105,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,13,14.5,4
CS108,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,11.5,13,5
CS109A,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,13,14.5,6
CS109B,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,14.5,7
CS121,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,10,11.5,8
CS125,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,10,11.5,9
CS124,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,11.5,13,10
CS127,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,11.5,13,11
CS134,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,16,12
CS136,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,11.5,13,13
CS141,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,13,14.5,14
CS143,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,16,15
CS144R,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,16,16
CS146,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,13,14.5,17
CS148,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,11.5,13,18
CS152,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,10,11.5,19
CS153,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,10,11.5,20
CS161,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,13,14.5,21
CS164,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,16.5,22
CS165,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,16,17.5,23
CS171,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,14.5,16,24
CS175,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,14.5,16,25
CS179,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,14.5,16,26
CS181,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,10,11.5,27
CS182,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,13,14.5,28
CS189,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,13,16,29
MATH1A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9,10,30
MATH1A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,31
MATH1A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11,12,32
MATH1A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,12,13,33
MATH1B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9,10,34
MATH1B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,35
MATH1B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11,12,36
MATH1B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,12,13,37
MATH21A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9,10,38
MATH21A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,39
MATH21A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11,12,40
MATH21A,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,12,13,41
MATH21A,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,10,11.5,42
MATH21A,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,11.5,13,43
MATH21B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,9,10,44
MATH21B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,45
MATH21B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,11,12,46
MATH21B,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,12,13,47
MATH23A,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,14.5,16,48
MATH23B,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,14.5,16,49
MATH25A,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,50
MATH25B,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,10,11,51
